lower,upper,center,frac,gsc
2e-05,3.01718141720036e-05,2.45649401269385e-05,0.000621332174672546,1.29395345636779e-07
3.01718141720036e-05,4.55169185214957e-05,3.7058440432819e-05,0.00129514763163005,2.69720581480826e-07
4.55169185214957e-05,6.86664003656399e-05,5.59060189121639e-05,0.00254802652150068,5.30638498827167e-07
6.86664003656399e-05,0.000103589493584624,8.43393006857165e-05,0.00473127630206388,9.85310526903423e-07
0.000103589493584624,0.000156274147530362,0.000127233485384308,0.00829168514421801,1.72678240220358e-06
0.000156274147530362,0.000235753726958717,0.000191943253873584,0.0137150629716482,2.85622632464171e-06
0.000235753726958717,0.000355655882007785,0.000289563809372175,0.0214113312908378,4.45901037457405e-06
0.000355655882007785,0.000536539159055945,0.000436833272365736,0.0315486448442109,6.57015356743769e-06
0.000536539159055945,0.000809417990151952,0.00065900261589836,0.0438741980203305,9.13700794646453e-06
0.000809417990151952,0.00122108045931707,0.000994165223287479,0.0575876489937626,1.19928985649013e-05
0.00122108045931707,0.00184211063537896,0.00149978841866491,0.0713413583807343,1.48571731871723e-05
0.00184211063537896,0.00277899098874627,0.00226256687326404,0.0834152428556046,1.73716163763211e-05
0.00277899098874627,0.00419235998490626,0.00341328736259269,0.0920537727140307,1.91706308204287e-05
0.00419235998490626,0.00632455532033676,0.00514925360098974,0.0958804282661177,1.99675498244319e-05
0.00632455532033676,0.00954116539228786,0.00776811613867913,0.0942563387727943,1.96293255542267e-05
0.00954116539228786,0.014393713460023,0.0117189078301384,0.087454746135717,1.82128619200699e-05
0.014393713460023,0.0217142223880441,0.0176790354674887,0.0765858194441516,1.5949356852596e-05
0.0217142223880441,0.0327578741390813,0.0266704286432665,0.0633002481609078,1.31825741906754e-05
0.0327578741390813,0.0494182245597121,0.0402347608456159,0.0493803764040091,1.0283695473904e-05
0.0494182245597121,0.0745518744062989,0.0606977863744464,0.0363575942484892,7.57163988294085e-06
0.0745518744062989,0.11246826503807,0.0915681165570883,0.0252654725185645,5.2616533997119e-06
0.11246826503807,0.169668579648814,0.138138809842042,0.0165710870834115,3.45100676922974e-06
0.169668579648814,0.255960442799591,0.208394925024791,0.0102580678650371,2.13629084581294e-06
0.255960442799591,0.38613954577665,0.31438264761183,0.0059933659486525,1.24814662762684e-06
0.38613954577665,0.582526530981748,0.474274741132331,0.00330496079236887,6.8827361832654e-07
0.582526530981748,0.878794112152159,0.71548646779599,0.00172009211322624,3.58217267012296e-07
0.878794112152159,1.32574063236529,1.07937623744619,0.000844941277846047,1.75962992335445e-07
1.32574063236529,2,1.62833696289514,0.000391733123461647,8.15802641065682e-08
